"","ID","Role"
"Jonson, Ben, 1573?","Jonson, Ben, 1573?","Author"
"Massinger, Philip, 1583-1640.","Massinger, Philip, 1583-1640.","Author"
"Cervantes Saavedra, Miguel de, 1547-1616.","Cervantes Saavedra, Miguel de, 1547-1616.","Author"
"Shakespeare, William, 1564-1616.","Shakespeare, William, 1564-1616.","Author"
"Cecil, Thomas, fl. 1630, engraver.","Cecil, Thomas, fl. 1630, engraver.","engraver"
"Fletcher, Phineas, 1582-1650.","Fletcher, Phineas, 1582-1650.","Author"
"Spenser, Edmund, 1552?","Spenser, Edmund, 1552?","Author"
"Fletcher, Robert, purveyor of carriages to Queen Elizabeth.","Fletcher, Robert, purveyor of carriages to Queen Elizabeth.","Author"
"Florio, John, 1553?","Florio, John, 1553?","Author"
"Florus, Lucius Annaeus.","Florus, Lucius Annaeus.","Author"
"Pass, Simon van de, 1595?","Pass, Simon van de, 1595?","Author"
"Bolton, Edmund, 1575?","Bolton, Edmund, 1575?","Author"
"Flower, William, ca. 1498-1588.","Flower, William, ca. 1498-1588.","Author"
"Floyd, Thomas, M.A., of Jesus College, Oxford.","Floyd, Thomas, M.A., of Jesus College, Oxford.","Author"
"Fludd, Robert, 1574-1637.","Fludd, Robert, 1574-1637.","Author"
"Folkingham, W. (William)","Folkingham, W. (William)","Author"
"Fonseca, Cristóbal de, 1550?","Fonseca, Cristóbal de, 1550?","Author"
"Mabbe, James, 1572-1642?","Mabbe, James, 1572-1642?","Author"
"Forbes, John, Captain.","Forbes, John, Captain.","Author"
"Forbes, John, 1568?","Forbes, John, 1568?","Author"
"Forbes, John, 1593-1648.","Forbes, John, 1593-1648.","Author"
"Calderwood, David, 1575-1650.","Calderwood, David, 1575-1650.","Author"
"Forbes, Patrick, 1564-1635.","Forbes, Patrick, 1564-1635.","Author"
"Forbes, Walter, 17th century.","Forbes, Walter, 17th century.","Author"
"Lindsay, David, 1565?","Lindsay, David, 1565?","Author"
"Ford, John, 1586-ca. 1640.","Ford, John, 1586-ca. 1640.","Author"
"Daniel, Samuel, 1562-1619.","Daniel, Samuel, 1562-1619.","Author"
"Ford, Thomas, d. 1648.","Ford, Thomas, d. 1648.","Author"
"Ford, Emanuel.","Ford, Emanuel.","Author"
"Forman, Simon, 1552-1611.","Forman, Simon, 1552-1611.","Author"
"Forset, Edward, 1553?","Forset, Edward, 1553?","Author"
"Forsyth, James, fl. 1615-1619.","Forsyth, James, fl. 1615-1619.","Author"
"Fortescue, John, Sir, 1394?","Fortescue, John, Sir, 1394?","Author"
"Mulcaster, Robert. 16th Century","Mulcaster, Robert. 16th Century","Author"
"Mulcaster, Robert, 16th cent.","Mulcaster, Robert, 16th cent.","Author"
"Selden, John, 1584-1654.","Selden, John, 1584-1654.","Author"
"Hengham, Ralph de, d. 1311.","Hengham, Ralph de, d. 1311.","Author"
"Foster, Samuel, d. 1652.","Foster, Samuel, d. 1652.","Author"
"Foster, Thomas, b. 1590 or 91.","Foster, Thomas, b. 1590 or 91.","Author"
"Foster, William, 1591-1643.","Foster, William, 1591-1643.","Author"
"Fotherby, Martin, 1549 or 50-1620.","Fotherby, Martin, 1549 or 50-1620.","Author"
"Fougasses, Thomas de.","Fougasses, Thomas de.","Author"
"Shute, W.","Shute, W.","Author"
"Foulweather, Adam.","Foulweather, Adam.","Author"
"Fowler, John, Brownist.","Fowler, John, Brownist.","Author"
"Saunders, Clement. aut","Saunders, Clement. aut","Author"
"Bulwarde, Robert. aut","Bulwarde, Robert. aut","Author"
"Fowler, William, 1560?","Fowler, William, 1560?","Author"
"Foxe, Luke, 1586-1635.","Foxe, Luke, 1586-1635.","Author"
"Foxe, John, 1516-1587.","Foxe, John, 1516-1587.","Author"
"Day, Richard, b. 1552.","Day, Richard, b. 1552.","Author"
"J. F., fl. 1587.","J. F., fl. 1587.","Author"
"Bell, James, fl. 1551-1596.","Bell, James, fl. 1551-1596.","Author"
"Foxle, George.","Foxle, George.","Author"
"Fracastoro, Girolamo, 1478-1553.","Fracastoro, Girolamo, 1478-1553.","Author"
"Sylvester, Josuah, 1563-1618.","Sylvester, Josuah, 1563-1618.","Author"
"Eliot, John.","Eliot, John.","Author"
"Montpensier, François de Bourbon, duc de. Copie d'une lettre contenant le progres des choses advenues au voyage de duc de Montpensier. English.","Montpensier, François de Bourbon, duc de. Copie d'une lettre contenant le progres des choses advenues au voyage de duc de Montpensier. English.","Author"
"Du Vair, Guillaume, 1556-1621.","Du Vair, Guillaume, 1556-1621.","Author"
"Concini, Concino, maréchal d'Ancre, ca. 1575-1617.","Concini, Concino, maréchal d'Ancre, ca. 1575-1617.","Author"
"Mayenne, Henri de Lorraine, duc de, 1578-1621.","Mayenne, Henri de Lorraine, duc de, 1578-1621.","Author"
"Bouillon, Henri de la Tour-d'Auvergne, Duc de, 1555-1623.","Bouillon, Henri de la Tour-d'Auvergne, Duc de, 1555-1623.","Author"
"Vendôme, César de Bourbon, duc de, 1594-1665.","Vendôme, César de Bourbon, duc de, 1594-1665.","Author"
"Aggas, Edward.","Aggas, Edward.","Author"
"Tremoille, Charlotte Brabantina, Duchess of, 1580-1631.","Tremoille, Charlotte Brabantina, Duchess of, 1580-1631.","Author"
"Munday, Anthony, 1553-1633.","Munday, Anthony, 1553-1633.","Author"
"Hennot, John de.","Hennot, John de.","Author"
"La Popelinière, Lancelot-Voisin, sieur de, 1541-1608.","La Popelinière, Lancelot-Voisin, sieur de, 1541-1608.","Author"
"Hoby, Edward, Sir, 1560-1617.","Hoby, Edward, Sir, 1560-1617.","Author"
"Gentleman of Florence.","Gentleman of Florence.","Author"
"Eglises réformées de France.","Eglises réformées de France.","Author"
"Reynolds, John, fl. 1621-1650.","Reynolds, John, fl. 1621-1650.","Author"
"Gorges, Arthur, Sir, 1557?","Gorges, Arthur, Sir, 1557?","Author"
"Combort, fl. 1621.","Combort, fl. 1621.","Author"
"Franchis, Joannes Maria de.","Franchis, Joannes Maria de.","Author"
"Hutton, Samuel.","Hutton, Samuel.","Author"
"Golding, Arthur, 1536-1606.","Golding, Arthur, 1536-1606.","Author"
"Alber, Erasmus, ca. 1500-1553.","Alber, Erasmus, ca. 1500-1553.","Author"
"Marcos, de Lisboa, Bishop of Porto, 1511-1591.","Marcos, de Lisboa, Bishop of Porto, 1511-1591.","Author"
"Cape, William.","Cape, William.","Author"
"Franck, Sebastian, 1499-1542.","Franck, Sebastian, 1499-1542.","Author"
"Franklin, James, d. 1615.","Franklin, James, d. 1615.","Author"
"Frarinus, Petrus.","Frarinus, Petrus.","Author"
"Fowler, John, 1537-1579.","Fowler, John, 1537-1579.","Author"
"Fraser, John, d. 1605.","Fraser, John, d. 1605.","Author"
"Fraunce, Abraham, fl. 1587-1633.","Fraunce, Abraham, fl. 1587-1633.","Author"
"Watson, Thomas, 1557?","Watson, Thomas, 1557?","Author"
"Tasso, Torquato, 1544-1595.","Tasso, Torquato, 1544-1595.","Author"
"Virgil. Bucolica. 2. English.","Virgil. Bucolica. 2. English.","Author"
"Heliodorus, of Emesa. Aethiopica. English. Selections.","Heliodorus, of Emesa. Aethiopica. English. Selections.","Author"
"Ramus, Petrus, 1515-1572.","Ramus, Petrus, 1515-1572.","Author"
"Francke, Christian, b. 1549.","Francke, Christian, b. 1549.","Author"
"Freake, William.","Freake, William.","Author"
"Camilton, John. De studiis Jesuitarum abstrusioribus. English.","Camilton, John. De studiis Jesuitarum abstrusioribus. English.","Author"
"Frederick I, King of Bohemia, 1596-1632.","Frederick I, King of Bohemia, 1596-1632.","Author"
"Frederick Henry, Prince of Orange, 1584-1647.","Frederick Henry, Prince of Orange, 1584-1647.","Author"
"'s-Hertogenbosch (Netherlands). Treaties, etc. Frederick Henry, Prince of Orange, 1629-09-13.","'s-Hertogenbosch (Netherlands). Treaties, etc. Frederick Henry, Prince of Orange, 1629-09-13.","Author"
"Freeman, Ralph, Sir, fl. 1610-1655.","Freeman, Ralph, Sir, fl. 1610-1655.","Author"
"Freeman, Thomas, b. 1590 or 91.","Freeman, Thomas, b. 1590 or 91.","Author"
"Frégeville, Jean de.","Frégeville, Jean de.","Author"
"Frith, John, 1503-1533.","Frith, John, 1503-1533.","Author"
"Frontinus, Sextus Julius.","Frontinus, Sextus Julius.","Author"
"Morison, Richard, Sir, d. 1556.","Morison, Richard, Sir, d. 1556.","Author"
"Fulbeck, William, 1560-1603?","Fulbeck, William, 1560-1603?","Author"
"Fulbecke, William, 1560-1603?","Fulbecke, William, 1560-1603?","Author"
"Fulke, William, 1538-1589.","Fulke, William, 1538-1589.","Author"
"Painter, William, 1540?","Painter, William, 1540?","Author"
"Parsons, Robert, 1546-1610.","Parsons, Robert, 1546-1610.","Author"
"Feckenham, John de, 1518?","Feckenham, John de, 1518?","Author"
"Gifford, George, d. 1620.","Gifford, George, d. 1620.","Author"
